Date/Time,Electricity:Facility [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Total:Electricity(kW)
 01/02  23:00:00,1.693003662,0.344686303,0.344686303,0.344686303,0.451169115,0.098298255,0.205880856,0.575857133,4.05826793
 01/02  24:00:00,1.38075597,0.350067842,0.350067842,0.350067842,0.309757866,0.067488347,0.135920782,0.500409133,3.444535624
 01/03  01:00:00,1.052536208,0.338316285,0.338316285,0.338316285,0.161612796,0.035211311,0.086369242,0.413914574,2.764592986
 01/03  02:00:00,0.936634066,0.351362913,0.351362913,0.351362913,0.094274166,0.020539939,0.072238755,0.381106294,2.558881959
 01/03  03:00:00,0.892200129,0.356675152,0.356675152,0.356675152,0.067338672,0.014671381,0.059715255,0.37668767,2.480638563
 01/03  04:00:00,0.890043267,0.366924866,0.366924866,0.366924866,0.067338672,0.014671381,0.052611026,0.371385321,2.496824265
 01/03  05:00:00,0.89456063,0.374930677,0.374930677,0.374930677,0.067338672,0.014671381,0.063151709,0.357356191,2.521870614
 01/03  06:00:00,0.946695907,0.372811577,0.372811577,0.372811577,0.067338672,0.014671381,0.075981488,0.398780788,2.621902967
 01/03  07:00:00,1.172454266,0.376209093,0.376209093,0.376209093,0.154878975,0.033744183,0.129758031,0.460751986,3.08021472
 01/03  08:00:00,1.489656943,0.375108245,0.375108245,0.375108245,0.316491771,0.068955493,0.207405929,0.489583505,3.697418376
 01/03  09:00:00,1.429206122,0.360443634,0.360443634,0.360443634,0.303024045,0.066021219,0.268690649,0.413914574,3.562187511
 01/03  10:00:00,1.257786641,0.369743214,0.369743214,0.369743214,0.154878975,0.033744183,0.330033496,0.352274774,3.237947711
 01/03  11:00:00,1.280973997,0.402606629,0.402606629,0.402606629,0.127943439,0.027875616,0.34487662,0.360559693,3.350049252
 01/03  12:00:00,1.254989611,0.360268671,0.360268671,0.360268671,0.127943439,0.027875616,0.361119726,0.360670159,3.213404564
 01/03  13:00:00,1.226376554,0.347004974,0.347004974,0.347004974,0.127943439,0.027875616,0.351845974,0.354594551,3.129651056
 01/03  14:00:00,1.192395235,0.334760165,0.334760165,0.334760165,0.127943439,0.027875616,0.317847783,0.366856232,3.0371988
 01/03  15:00:00,1.191906426,0.330618851,0.330618851,0.330618851,0.134677344,0.029342762,0.292642171,0.387513298,3.027938554
 01/03  16:00:00,1.259959645,0.325904783,0.325904783,0.325904783,0.168346701,0.036678457,0.302863616,0.409054088,3.154616856
 01/03  17:00:00,1.520036732,0.320922482,0.320922482,0.320922482,0.282822414,0.061619798,0.353720743,0.483839294,3.664806427
 01/03  18:00:00,2.075381009,0.385733232,0.385733232,0.385733232,0.52524165,0.114436773,0.445069937,0.587787417,4.905116482
 01/03  19:00:00,2.353653877,0.318781811,0.318781811,0.318781811,0.781128612,0.170188022,0.398283704,0.638159727,5.297759375
 01/03  20:00:00,2.300484159,0.300596249,0.300596249,0.300596249,0.828265695,0.180457992,0.315345897,0.658706327,5.185048817
 01/03  21:00:00,2.139837029,0.296191713,0.296191713,0.296191713,0.713789982,0.155516632,0.275874928,0.681351773,4.854945483
 01/03  22:00:00,1.980622357,0.30983387,0.30983387,0.30983387,0.599314185,0.130575291,0.258342283,0.665444728,4.563800454
